TOP.691e27c8.0001abfc	START
TOP.691e27c8.0001abfc	folder_config->cwd	C:\Users\Иван\hashcat-7.1.2
TOP.691e27c8.0001abfc	folder_config->install_dir	.
TOP.691e27c8.0001abfc	folder_config->profile_dir	.
TOP.691e27c8.0001abfc	folder_config->session_dir	.
TOP.691e27c8.0001abfc	folder_config->shared_dir	.
TOP.691e27c8.0001abfc	user_options->encoding_from	utf-8
TOP.691e27c8.0001abfc	user_options->encoding_to	utf-8
TOP.691e27c8.0001abfc	user_options->rule_buf_l	:
TOP.691e27c8.0001abfc	user_options->rule_buf_r	:
TOP.691e27c8.0001abfc	user_options->session	hashcat
TOP.691e27c8.0001abfc	user_options->separator	:
TOP.691e27c8.0001abfc	user_options->limit	0
TOP.691e27c8.0001abfc	user_options->skip	0
TOP.691e27c8.0001abfc	user_options->attack_mode	0
TOP.691e27c8.0001abfc	user_options->backend_devices_virtmulti	1
TOP.691e27c8.0001abfc	user_options->backend_devices_virthost	1
TOP.691e27c8.0001abfc	user_options->backend_devices_keepfree	0
TOP.691e27c8.0001abfc	user_options->benchmark	0
TOP.691e27c8.0001abfc	user_options->benchmark_all	0
TOP.691e27c8.0001abfc	user_options->benchmark_max	99999
TOP.691e27c8.0001abfc	user_options->benchmark_min	0
TOP.691e27c8.0001abfc	user_options->bitmap_max	18
TOP.691e27c8.0001abfc	user_options->bitmap_min	16
TOP.691e27c8.0001abfc	user_options->debug_mode	0
TOP.691e27c8.0001abfc	user_options->dynamic_x	0
TOP.691e27c8.0001abfc	user_options->hash_info	0
TOP.691e27c8.0001abfc	user_options->force	0
TOP.691e27c8.0001abfc	user_options->hwmon	1
TOP.691e27c8.0001abfc	user_options->hwmon_temp_abort	90
TOP.691e27c8.0001abfc	user_options->hash_mode	20
TOP.691e27c8.0001abfc	user_options->hex_charset	0
TOP.691e27c8.0001abfc	user_options->hex_salt	0
TOP.691e27c8.0001abfc	user_options->hex_wordlist	0
TOP.691e27c8.0001abfc	user_options->hook_threads	8
TOP.691e27c8.0001abfc	user_options->identify	0
TOP.691e27c8.0001abfc	user_options->increment	0
TOP.691e27c8.0001abfc	user_options->increment_max	256
TOP.691e27c8.0001abfc	user_options->increment_min	1
TOP.691e27c8.0001abfc	user_options->keep_guessing	0
TOP.691e27c8.0001abfc	user_options->kernel_accel	0
TOP.691e27c8.0001abfc	user_options->kernel_loops	0
TOP.691e27c8.0001abfc	user_options->kernel_threads	0
TOP.691e27c8.0001abfc	user_options->keyspace	0
TOP.691e27c8.0001abfc	user_options->total_candidates	0
TOP.691e27c8.0001abfc	user_options->left	0
TOP.691e27c8.0001abfc	user_options->logfile	1
TOP.691e27c8.0001abfc	user_options->loopback	0
TOP.691e27c8.0001abfc	user_options->machine_readable	0
TOP.691e27c8.0001abfc	user_options->markov_classic	0
TOP.691e27c8.0001abfc	user_options->markov	1
TOP.691e27c8.0001abfc	user_options->markov_inverse	0
TOP.691e27c8.0001abfc	user_options->markov_threshold	256
TOP.691e27c8.0001abfc	user_options->metal_compiler_runtime	120
TOP.691e27c8.0001abfc	user_options->multiply_accel	1
TOP.691e27c8.0001abfc	user_options->backend_info	0
TOP.691e27c8.0001abfc	user_options->backend_vector_width	0
TOP.691e27c8.0001abfc	user_options->optimized_kernel	0
TOP.691e27c8.0001abfc	user_options->outfile_autohex	1
TOP.691e27c8.0001abfc	user_options->outfile_check_timer	5
TOP.691e27c8.0001abfc	user_options->outfile_format	3
TOP.691e27c8.0001abfc	user_options->outfile_json	0
TOP.691e27c8.0001abfc	user_options->wordlist_autohex	1
TOP.691e27c8.0001abfc	user_options->potfile	1
TOP.691e27c8.0001abfc	user_options->progress_only	0
TOP.691e27c8.0001abfc	user_options->quiet	0
TOP.691e27c8.0001abfc	user_options->remove	0
TOP.691e27c8.0001abfc	user_options->remove_timer	60
TOP.691e27c8.0001abfc	user_options->restore	0
TOP.691e27c8.0001abfc	user_options->restore_enable	1
TOP.691e27c8.0001abfc	user_options->restore_timer	1
TOP.691e27c8.0001abfc	user_options->rp_files_cnt	0
TOP.691e27c8.0001abfc	user_options->rp_gen	0
TOP.691e27c8.0001abfc	user_options->rp_gen_func_max	4
TOP.691e27c8.0001abfc	user_options->rp_gen_func_min	1
TOP.691e27c8.0001abfc	user_options->rp_gen_seed	0
TOP.691e27c8.0001abfc	user_options->runtime	0
TOP.691e27c8.0001abfc	user_options->scrypt_tmto	0
TOP.691e27c8.0001abfc	user_options->segment_size	33554432
TOP.691e27c8.0001abfc	user_options->self_test	1
TOP.691e27c8.0001abfc	user_options->slow_candidates	0
TOP.691e27c8.0001abfc	user_options->show	0
TOP.691e27c8.0001abfc	user_options->speed_only	0
TOP.691e27c8.0001abfc	user_options->spin_damp	0
TOP.691e27c8.0001abfc	user_options->status	0
TOP.691e27c8.0001abfc	user_options->status_json	0
TOP.691e27c8.0001abfc	user_options->status_timer	10
TOP.691e27c8.0001abfc	user_options->stdout_flag	0
TOP.691e27c8.0001abfc	user_options->usage	0
TOP.691e27c8.0001abfc	user_options->username	0
TOP.691e27c8.0001abfc	user_options->veracrypt_pim_start	485
TOP.691e27c8.0001abfc	user_options->veracrypt_pim_stop	485
TOP.691e27c8.0001abfc	user_options->version	0
TOP.691e27c8.0001abfc	user_options->workload_profile	2
TOP.691e27c8.0001abfc	user_options->brain_client	0
TOP.691e27c8.0001abfc	user_options->brain_client_features	2
TOP.691e27c8.0001abfc	user_options->brain_server	0
TOP.691e27c8.0001abfc	user_options->brain_server_timer	300
TOP.691e27c8.0001abfc	user_options->brain_port	6863
TOP.691e27c8.0001abfc	user_options->brain_session	0
TOP.691e27c8.0001abfc	hashes->hashfile	C:\Users\Иван\MIA_HW\Algorithms\ThirdLab\hashes.txt
TOP.691e27c8.0001abfc	hashes->hashlist_mode	5
TOP.691e27c8.0001abfc	hashes->hashlist_format	0
TOP.691e27c8.0001abfc	hashes->hashes_cnt	0
TOP.691e27c8.0001abfc	hashes->digests_cnt	5
TOP.691e27c8.0001abfc	hashes->digests_done_pot	0
TOP.691e27c8.0001abfc	hashes->digests_done_zero	0
TOP.691e27c8.0001abfc	hashes->digests_done	0
TOP.691e27c8.0001abfc	hashes->salts_cnt	5
TOP.691e27c8.0001abfc	hashes->salts_done	0
TOP.691e27c8.0001abfc	SUB.691e27d1.0007dbad	START
TOP.691e27c8.0001abfc	SUB.691e27d1.0007dbad	straight_ctx->dict	C:\Users\Иван\MIA_HW\Algorithms\ThirdLab\wordlist.txt
TOP.691e27c8.0001abfc	SUB.691e27d1.0007dbad	runtime_start	1763583953
TOP.691e27c8.0001abfc	SUB.691e27d1.0007dbad	runtime_stop	1763583954
TOP.691e27c8.0001abfc	SUB.691e27d1.0007dbad	hashes->digests_done_new	0
TOP.691e27c8.0001abfc	SUB.691e27d1.0007dbad	status-after-work	5
TOP.691e27c8.0001abfc	SUB.691e27d1.0007dbad	STOP
TOP.691e27c8.0001abfc	proc_start	1763583944
TOP.691e27c8.0001abfc	proc_stop	1763583955
TOP.691e27c8.0001abfc	STOP
TOP.691e29c9.000b2987	START
TOP.691e29c9.000b2987	folder_config->cwd	C:\Users\Иван\hashcat-7.1.2
TOP.691e29c9.000b2987	folder_config->install_dir	.
TOP.691e29c9.000b2987	folder_config->profile_dir	.
TOP.691e29c9.000b2987	folder_config->session_dir	.
TOP.691e29c9.000b2987	folder_config->shared_dir	.
TOP.691e29c9.000b2987	user_options->encoding_from	utf-8
TOP.691e29c9.000b2987	user_options->encoding_to	utf-8
TOP.691e29c9.000b2987	user_options->rule_buf_l	:
TOP.691e29c9.000b2987	user_options->rule_buf_r	:
TOP.691e29c9.000b2987	user_options->session	hashcat
