algorithm,n,z,target,seed,elapsed_ms,operations,iterations,nodes_count,mismatch
Basic BFS,10,1,0,52,0.004700,5,5,2,no
TwoWays BFS,10,1,0,52,0.023300,49,49,2,no
LCA,10,1,0,52,0.017300,40,40,2,no
Binary Lifting,10,1,0,52,0.025100,73,73,2,no
Basic BFS,10,5,0,52,0.012000,28,28,0,no
TwoWays BFS,10,5,0,52,0.019600,49,49,0,no
LCA,10,5,0,52,0.013000,40,40,0,no
Binary Lifting,10,5,0,52,0.020100,73,73,0,no
Basic BFS,10,10,0,52,0.006600,28,28,0,no
TwoWays BFS,10,10,0,52,0.015900,49,49,0,no
LCA,10,10,0,52,0.009800,40,40,0,no
Binary Lifting,10,10,0,52,0.014200,73,73,0,no
Basic BFS,10,20,0,52,0.013600,28,28,0,no
TwoWays BFS,10,20,0,52,0.014200,49,49,0,no
LCA,10,20,0,52,0.009100,40,40,0,no
Binary Lifting,10,20,0,52,0.014100,73,73,0,no
Basic BFS,20,1,0,62,0.003100,5,5,2,no
TwoWays BFS,20,1,0,62,0.041700,159,159,2,no
LCA,20,1,0,62,0.016700,96,96,2,no
Binary Lifting,20,1,0,62,0.027200,167,167,2,no
Basic BFS,20,5,0,62,0.020900,57,57,1,no
TwoWays BFS,20,5,0,62,0.037500,159,159,1,no
LCA,20,5,0,62,0.015400,96,96,1,no
Binary Lifting,20,5,0,62,0.025100,167,167,1,no
Basic BFS,20,10,0,62,0.017900,58,58,0,no
TwoWays BFS,20,10,0,62,0.031800,159,159,0,no
LCA,20,10,0,62,0.014300,96,96,0,no
Binary Lifting,20,10,0,62,0.021400,167,167,0,no
Basic BFS,20,20,0,62,0.019200,58,58,0,no
TwoWays BFS,20,20,0,62,0.032000,159,159,0,no
LCA,20,20,0,62,0.014700,96,96,0,no
Binary Lifting,20,20,0,62,0.021900,167,167,0,no
Basic BFS,30,1,0,72,0.002400,5,5,2,no
TwoWays BFS,30,1,0,72,0.070900,462,462,2,no
LCA,30,1,0,72,0.019200,178,178,2,no
Binary Lifting,30,1,0,72,0.032400,257,257,2,no
Basic BFS,30,5,0,72,0.017100,62,62,5,no
TwoWays BFS,30,5,0,72,0.089600,462,462,5,no
LCA,30,5,0,72,0.025900,178,178,5,no
Binary Lifting,30,5,0,72,0.041300,257,257,5,no
Basic BFS,30,10,0,72,0.023100,88,88,0,no
TwoWays BFS,30,10,0,72,0.070000,462,462,0,no
LCA,30,10,0,72,0.020500,178,178,0,no
Binary Lifting,30,10,0,72,0.029900,257,257,0,no
Basic BFS,30,20,0,72,0.019800,88,88,0,no
TwoWays BFS,30,20,0,72,0.089200,462,462,0,no
LCA,30,20,0,72,0.026100,178,178,0,no
Binary Lifting,30,20,0,72,0.038500,257,257,0,no
Basic BFS,40,1,0,82,0.003100,5,5,2,no
TwoWays BFS,40,1,0,82,0.119900,644,644,2,no
LCA,40,1,0,82,0.031200,252,252,2,no
Binary Lifting,40,1,0,82,0.050800,386,386,2,no
Basic BFS,40,5,0,82,0.023000,77,77,11,no
TwoWays BFS,40,5,0,82,0.125500,644,644,11,no
LCA,40,5,0,82,0.033500,252,252,11,no
Binary Lifting,40,5,0,82,0.053400,386,386,11,no
Basic BFS,40,10,0,82,0.024900,118,118,0,no
TwoWays BFS,40,10,0,82,0.095100,644,644,0,no
LCA,40,10,0,82,0.027300,252,252,0,no
Binary Lifting,40,10,0,82,0.040700,386,386,0,no
Basic BFS,40,20,0,82,0.026300,118,118,0,no
TwoWays BFS,40,20,0,82,0.093800,644,644,0,no
LCA,40,20,0,82,0.026500,252,252,0,no
Binary Lifting,40,20,0,82,0.042100,386,386,0,no
Basic BFS,50,1,0,92,0.002400,5,5,2,no
TwoWays BFS,50,1,0,92,0.132500,982,982,2,no
LCA,50,1,0,92,0.031100,333,333,2,no
Binary Lifting,50,1,0,92,0.052200,482,482,2,no
Basic BFS,50,5,0,92,0.023800,93,93,10,no
TwoWays BFS,50,5,0,92,0.133900,982,982,10,no
LCA,50,5,0,92,0.033900,333,333,10,no
Binary Lifting,50,5,0,92,0.049700,482,482,10,no
Basic BFS,50,10,0,92,0.026600,147,147,1,no
TwoWays BFS,50,10,0,92,0.135100,982,982,1,no
LCA,50,10,0,92,0.032100,333,333,1,no
Binary Lifting,50,10,0,92,0.048000,482,482,1,no
Basic BFS,50,20,0,92,0.024400,148,148,0,no
TwoWays BFS,50,20,0,92,0.131800,982,982,0,no
LCA,50,20,0,92,0.032500,333,333,0,no
Binary Lifting,50,20,0,92,0.048600,482,482,0,no
Basic BFS,60,1,0,102,0.002400,5,5,2,no
TwoWays BFS,60,1,0,102,0.162900,1192,1192,2,no
LCA,60,1,0,102,0.037600,410,410,2,no
Binary Lifting,60,1,0,102,0.057700,582,582,2,no
Basic BFS,60,5,0,102,0.018100,103,103,12,no
TwoWays BFS,60,5,0,102,0.194100,1192,1192,12,no
LCA,60,5,0,102,0.046000,410,410,12,no
Binary Lifting,60,5,0,102,0.063600,582,582,12,no
Basic BFS,60,10,0,102,0.022300,178,178,0,no
TwoWays BFS,60,10,0,102,0.161200,1192,1192,0,no
LCA,60,10,0,102,0.037700,410,410,0,no
Binary Lifting,60,10,0,102,0.060900,582,582,0,no
Basic BFS,60,20,0,102,0.040900,178,178,0,no
TwoWays BFS,60,20,0,102,0.290100,1192,1192,0,no
LCA,60,20,0,102,0.092500,410,410,0,no
Binary Lifting,60,20,0,102,0.104500,582,582,0,no
Basic BFS,70,1,0,112,0.004600,5,5,2,no
TwoWays BFS,70,1,0,112,0.290300,1688,1688,2,no
LCA,70,1,0,112,0.057000,519,519,2,no
Binary Lifting,70,1,0,112,0.088800,759,759,2,no
Basic BFS,70,5,0,112,0.021500,91,91,12,no
TwoWays BFS,70,5,0,112,0.247200,1688,1688,12,no
LCA,70,5,0,112,0.068600,519,519,12,no
Binary Lifting,70,5,0,112,0.082600,759,759,12,no
Basic BFS,70,10,0,112,0.032500,207,207,1,no
TwoWays BFS,70,10,0,112,0.232900,1688,1688,1,no
LCA,70,10,0,112,0.062000,519,519,1,no
Binary Lifting,70,10,0,112,0.079300,759,759,1,no
Basic BFS,70,20,0,112,0.069000,208,208,0,no
TwoWays BFS,70,20,0,112,0.251600,1688,1688,0,no
LCA,70,20,0,112,0.087800,519,519,0,no
Binary Lifting,70,20,0,112,0.086700,759,759,0,no
Basic BFS,80,1,0,122,0.006000,5,5,2,no
TwoWays BFS,80,1,0,122,0.340800,2343,2343,2,no
LCA,80,1,0,122,0.063200,620,620,2,no
Binary Lifting,80,1,0,122,0.087900,870,870,2,no
Basic BFS,80,5,0,122,0.027800,90,90,13,no
TwoWays BFS,80,5,0,122,0.405000,2343,2343,13,no
LCA,80,5,0,122,0.088000,620,620,13,no
Binary Lifting,80,5,0,122,0.095900,870,870,13,no
Basic BFS,80,10,0,122,0.060700,230,230,5,no
TwoWays BFS,80,10,0,122,0.372400,2343,2343,5,no
LCA,80,10,0,122,0.082400,620,620,5,no
Binary Lifting,80,10,0,122,0.109900,870,870,5,no
Basic BFS,80,20,0,122,0.037000,238,238,0,no
TwoWays BFS,80,20,0,122,0.369100,2343,2343,0,no
LCA,80,20,0,122,0.078200,620,620,0,no
Binary Lifting,80,20,0,122,0.113200,870,870,0,no
Basic BFS,90,1,0,132,0.003400,5,5,2,no
TwoWays BFS,90,1,0,132,0.564300,3966,3966,2,no
LCA,90,1,0,132,0.083500,773,773,2,no
Binary Lifting,90,1,0,132,0.117600,982,982,2,no
Basic BFS,90,5,0,132,0.014100,92,92,11,no
TwoWays BFS,90,5,0,132,0.463900,3966,3966,11,no
LCA,90,5,0,132,0.072500,773,773,11,no
Binary Lifting,90,5,0,132,0.095800,982,982,11,no
Basic BFS,90,10,0,132,0.029900,231,231,10,no
TwoWays BFS,90,10,0,132,0.572400,3966,3966,10,no
LCA,90,10,0,132,0.086600,773,773,10,no
Binary Lifting,90,10,0,132,0.124000,982,982,10,no
Basic BFS,90,20,0,132,0.031500,268,268,0,no
TwoWays BFS,90,20,0,132,0.566200,3966,3966,0,no
LCA,90,20,0,132,0.084500,773,773,0,no
Binary Lifting,90,20,0,132,0.116500,982,982,0,no
Basic BFS,100,1,0,142,0.002500,5,5,2,no
TwoWays BFS,100,1,0,142,0.356000,2918,2918,2,no
LCA,100,1,0,142,0.068700,777,777,2,no
Binary Lifting,100,1,0,142,0.100000,1078,1078,2,no
Basic BFS,100,5,0,142,0.014100,121,121,18,no
TwoWays BFS,100,5,0,142,0.382000,2918,2918,18,no
LCA,100,5,0,142,0.094600,777,777,18,no
Binary Lifting,100,5,0,142,0.129500,1078,1078,18,no
Basic BFS,100,10,0,142,0.028100,294,294,4,no
TwoWays BFS,100,10,0,142,0.438900,2918,2918,4,no
LCA,100,10,0,142,0.088900,777,777,4,no
Binary Lifting,100,10,0,142,0.126900,1078,1078,4,no
Basic BFS,100,20,0,142,0.026500,298,298,0,no
TwoWays BFS,100,20,0,142,0.349900,2918,2918,0,no
LCA,100,20,0,142,0.069700,777,777,0,no
Binary Lifting,100,20,0,142,0.100000,1078,1078,0,no
Basic BFS,110,1,0,152,0.002500,5,5,2,no
TwoWays BFS,110,1,0,152,0.421600,3245,3245,2,no
LCA,110,1,0,152,0.089000,846,846,2,no
Binary Lifting,110,1,0,152,0.135100,1191,1191,2,no
Basic BFS,110,5,0,152,0.015600,133,133,21,no
TwoWays BFS,110,5,0,152,0.415300,3245,3245,21,no
LCA,110,5,0,152,0.097000,846,846,21,no
Binary Lifting,110,5,0,152,0.140800,1191,1191,21,no
Basic BFS,110,10,0,152,0.030100,324,324,4,no
TwoWays BFS,110,10,0,152,0.402800,3245,3245,4,no
LCA,110,10,0,152,0.096300,846,846,4,no
Binary Lifting,110,10,0,152,0.138500,1191,1191,4,no
Basic BFS,110,20,0,152,0.029500,328,328,0,no
TwoWays BFS,110,20,0,152,0.394400,3245,3245,0,no
LCA,110,20,0,152,0.076300,846,846,0,no
Binary Lifting,110,20,0,152,0.111600,1191,1191,0,no
Basic BFS,120,1,0,162,0.002400,5,5,2,no
TwoWays BFS,120,1,0,162,0.490700,4127,4127,2,no
LCA,120,1,0,162,0.085700,1015,1015,2,no
Binary Lifting,120,1,0,162,0.121600,1304,1304,2,no
Basic BFS,120,5,0,162,0.016000,108,108,16,no
TwoWays BFS,120,5,0,162,0.517400,4127,4127,16,no
